Date,0050,00631L,00662,00865B
2021-03-11,29.229244232177734,111.0,46.61000061035156,37.099998474121094
2021-03-12,29.348596572875977,111.5,47.20000076293945,37.04999923706055
2021-03-15,29.272642135620117,111.4000015258789,46.900001525878906,37.04999923706055
2021-03-16,29.370296478271484,112.5,47.61000061035156,37.0099983215332
2021-03-17,29.120750427246094,110.8499984741211,47.7400016784668,37.099998474121094
2021-03-18,29.272642135620117,112.5,48.02000045776367,36.95000076293945
2021-03-19,28.816957473754883,109.05000305175781,46.810001373291016,37.18000030517578
2021-03-22,28.947153091430664,110.8499984741211,47.34000015258789,37.400001525878906
2021-03-23,28.990554809570312,110.5999984741211,47.68000030517578,37.279998779296875
2021-03-24,28.534860610961914,108.44999694824219,47.91999816894531,37.400001525878906
2021-03-25,28.632511138916016,109.25,47.2599983215332,37.5
2021-03-26,29.153305053710938,112.6500015258789,47.41999816894531,37.70000076293945
2021-03-29,29.39199447631836,114.5,47.130001068115234,37.58000183105469
2021-03-30,29.489643096923828,116.0,47.54999923706055,37.45000076293945
2021-03-31,29.240097045898438,114.3499984741211,47.31999969482422,37.400001525878906
2021-04-01,29.45709228515625,116.0,48.290000915527344,37.400001525878906
2021-04-07,29.90192985534668,119.5,49.720001220703125,37.349998474121094
2021-04-08,29.99958038330078,121.30000305175781,50.04999923706055,37.29999923706055
2021-04-09,29.934480667114258,120.3499984741211,50.29999923706055,37.25
2021-04-12,29.760883331298828,119.94999694824219,50.45000076293945,37.15999984741211
2021-04-13,29.760883331298828,119.6500015258789,50.400001525878906,37.189998626708984
2021-04-14,29.923625946044922,120.0999984741211,51.04999923706055,37.16999816894531
2021-04-15,30.173179626464844,123.05000305175781,50.599998474121094,37.150001525878906
2021-04-16,30.216575622558594,124.1500015258789,51.0,37.150001525878906
2021-04-19,30.27082633972168,125.5999984741211,51.04999923706055,36.95000076293945
2021-04-20,30.216575622558594,126.1500015258789,50.349998474121094,36.5
2021-04-21,29.945329666137695,124.5,49.58000183105469,36.5
2021-04-22,29.923625946044922,123.6500015258789,50.29999923706055,36.439998626708984
2021-04-23,30.194873809814453,126.0999984741211,49.83000183105469,36.599998474121094
2021-04-26,30.63971519470215,130.14999389648438,50.0,36.31999969482422
2021-04-27,30.65056610107422,130.60000610351562,50.400001525878906,36.400001525878906
2021-04-28,30.466121673583984,130.0,50.25,36.400001525878906
2021-04-29,30.509519577026367,130.4499969482422,50.25,36.29999923706055
2021-05-03,29.99958038330078,125.5,49.849998474121094,36.400001525878906
2021-05-04,29.739187240600586,121.55000305175781,49.40999984741211,36.29999923706055
2021-05-05,29.45709228515625,119.3499984741211,48.619998931884766,36.45000076293945
2021-05-06,29.717485427856445,121.69999694824219,48.599998474121094,36.54999923706055
2021-05-07,30.249126434326172,126.44999694824219,49.029998779296875,36.599998474121094
2021-05-10,30.042978286743164,125.30000305175781,49.0,36.400001525878906
2021-05-11,28.91460418701172,115.30000305175781,47.4900016784668,36.439998626708984
2021-05-12,28.07917022705078,105.0999984741211,47.689998626708984,36.650001525878906
2021-05-13,27.66688346862793,102.5999984741211,46.84000015258789,36.599998474121094
2021-05-14,27.981523513793945,105.19999694824219,47.459999084472656,36.540000915527344
2021-05-17,27.449886322021484,99.0999984741211,48.33000183105469,36.720001220703125
2021-05-18,28.708459854125977,110.1500015258789,48.09000015258789,36.79999923706055
2021-05-19,28.513160705566406,109.44999694824219,47.099998474121094,36.650001525878906
2021-05-20,28.31787109375,108.0,47.4900016784668,36.70000076293945
2021-05-21,28.719308853149414,111.69999694824219,48.5099983215332,36.790000915527344
2021-05-24,28.675905227661133,112.5,48.150001525878906,36.790000915527344
2021-05-25,29.164148330688477,116.44999694824219,49.04999923706055,36.68000030517578
2021-05-26,29.185850143432617,116.4000015258789,49.029998779296875,36.56999969482422
2021-05-27,28.97970199584961,115.69999694824219,48.83000183105469,36.70000076293945
2021-05-28,29.467941284179688,120.0,48.83000183105469,36.5
2021-05-31,29.75004005432129,122.0,48.5,36.400001525878906
2021-06-01,29.880229949951172,123.6500015258789,48.33000183105469,36.29999923706055
2021-06-02,29.880229949951172,123.0,48.349998474121094,36.45000076293945
2021-06-03,29.85853385925293,124.9000015258789,48.65999984741211,36.41999816894531
2021-06-04,29.717485427856445,123.44999694824219,48.13999938964844,36.439998626708984
2021-06-07,29.79343032836914,123.25,48.900001525878906,36.4900016784668
2021-06-08,29.61983871459961,122.30000305175781,49.25,36.439998626708984
2021-06-09,29.402843475341797,120.8499984741211,49.29999923706055,36.439998626708984
2021-06-10,29.85853385925293,124.1500015258789,49.25,36.47999954223633
2021-06-11,29.967037200927734,124.80000305175781,49.599998474121094,36.279998779296875
2021-06-15,30.129779815673828,127.1500015258789,50.29999923706055,36.400001525878906
2021-06-16,30.097225189208984,126.6500015258789,49.95000076293945,36.38999938964844
2021-06-17,30.010435104370117,127.19999694824219,49.65999984741211,36.5
2021-06-18,29.945329666137695,126.75,50.650001525878906,36.709999084472656
2021-06-21,29.229244232177734,122.05000305175781,50.25,36.79999923706055
2021-06-22,29.261796951293945,122.75,50.70000076293945,36.72999954223633
2021-06-23,29.739187240600586,126.94999694824219,51.349998474121094,36.880001068115234
2021-06-24,29.66323471069336,127.75,51.400001525878906,36.95000076293945
2021-06-25,29.717485427856445,128.64999389648438,51.5,36.849998474121094
2021-06-28,29.7717342376709,130.3000030517578,51.5,36.79999923706055
2021-06-29,29.85853385925293,130.10000610351562,51.95000076293945,36.720001220703125
2021-06-30,30.15147590637207,133.0500030517578,52.29999923706055,36.68000030517578
2021-07-01,30.010435104370117,131.64999389648438,52.04999923706055,36.59000015258789
2021-07-02,30.010435104370117,132.0,52.150001525878906,36.849998474121094
2021-07-05,30.292524337768555,135.89999389648438,52.70000076293945,36.7599983215332
2021-07-06,30.32506561279297,135.64999389648438,52.75,36.83000183105469
2021-07-07,30.162322998046875,133.85000610351562,53.099998474121094,36.83000183105469
2021-07-08,30.129779815673828,134.5,53.29999923706055,36.689998626708984
2021-07-09,29.891075134277344,131.5,52.95000076293945,37.099998474121094
2021-07-12,30.162322998046875,134.6999969482422,53.29999923706055,36.7599983215332
2021-07-13,30.4118709564209,134.85000610351562,53.5,36.79999923706055
2021-07-14,30.487817764282227,134.85000610351562,53.45000076293945,36.77000045776367
2021-07-15,30.769912719726562,137.85000610351562,53.650001525878906,36.779998779296875
2021-07-16,30.357622146606445,135.60000610351562,53.20000076293945,36.83000183105469
2021-07-19,30.010435104370117,133.60000610351562,52.79999923706055,36.83000183105469
2021-07-20,29.7717342376709,129.60000610351562,52.650001525878906,36.95000076293945
2021-07-21,29.73910140991211,128.75,53.099998474121094,36.970001220703125
2021-07-22,29.94577980041504,131.10000610351562,53.54999923706055,36.939998626708984
2021-07-23,29.94577980041504,131.1999969482422,54.0,36.95000076293945
2021-07-26,29.684715270996094,128.5,54.54999923706055,36.970001220703125
2021-07-27,29.6738338470459,127.9000015258789,54.45000076293945,36.939998626708984
2021-07-28,29.206104278564453,124.25,53.849998474121094,36.88999938964844
2021-07-29,29.69559097290039,129.8000030517578,53.900001525878906,36.779998779296875
2021-07-30,29.597694396972656,127.30000305175781,53.25,36.779998779296875
2021-08-02,30.00015640258789,131.64999389648438,53.95000076293945,36.66999816894531
2021-08-03,30.119813919067383,132.3000030517578,53.900001525878906,36.72999954223633
2021-08-04,30.293855667114258,133.75,53.79999923706055,36.61000061035156
2021-08-05,30.239465713500977,133.0,53.95000076293945,36.560001373291016
2021-08-06,30.195960998535156,131.89999389648438,54.25,36.58000183105469
2021-08-09,30.108938217163086,130.9499969482422,53.849998474121094,36.68000030517578
2021-08-10,29.94577980041504,129.1999969482422,54.25,36.619998931884766
2021-08-11,29.847877502441406,127.75,53.849998474121094,36.599998474121094
2021-08-12,29.793489456176758,127.5,53.650001525878906,36.619998931884766
2021-08-13,29.510671615600586,124.5,53.900001525878906,36.650001525878906
2021-08-16,29.445411682128906,122.80000305175781,54.20000076293945,36.7400016784668
2021-08-17,29.22786521911621,120.0,54.099998474121094,36.70000076293945
2021-08-18,29.347509384155273,122.75,53.70000076293945,36.66999816894531
2021-08-19,28.67310905456543,116.0,53.29999923706055,36.72999954223633
2021-08-20,28.444679260253906,115.5,53.599998474121094,36.869998931884766
2021-08-23,29.22786521911621,122.05000305175781,54.45000076293945,36.810001373291016
2021-08-24,29.314882278442383,123.25,55.0,36.790000915527344
2021-08-25,29.597694396972656,125.8499984741211,55.20000076293945,36.79999923706055
2021-08-26,29.804365158081055,126.3499984741211,55.04999923706055,36.79999923706055
2021-08-27,30.054550170898438,129.39999389648438,55.0,36.779998779296875
2021-08-30,30.34824562072754,131.8000030517578,55.349998474121094,36.61000061035156
2021-08-31,30.533157348632812,133.10000610351562,55.849998474121094,36.5
2021-09-01,30.674571990966797,133.6999969482422,55.75,36.4900016784668
2021-09-02,30.43526268005371,131.0500030517578,55.75,36.4900016784668
2021-09-03,30.870363235473633,134.89999389648438,55.79999923706055,36.439998626708984
2021-09-06,31.01177215576172,134.14999389648438,55.70000076293945,36.41999816894531
2021-09-07,30.870363235473633,133.25,55.79999923706055,36.41999816894531
2021-09-08,30.598417282104492,130.39999389648438,55.849998474121094,36.38999938964844
2021-09-09,30.52228355407715,130.64999389648438,55.5,36.40999984741211
2021-09-10,30.881242752075195,134.0500030517578,55.45000076293945,36.41999816894531
2021-09-13,30.77246856689453,133.1999969482422,55.04999923706055,36.439998626708984
2021-09-14,30.805105209350586,133.8000030517578,55.099998474121094,36.43000030517578
2021-09-15,30.620182037353516,132.4499969482422,54.900001525878906,36.4900016784668
2021-09-16,30.478775024414062,131.0,55.349998474121094,36.52000045776367
2021-09-17,30.565792083740234,132.35000610351562,55.349998474121094,36.63999938964844
2021-09-22,29.847877502441406,125.69999694824219,54.099998474121094,36.630001068115234
2021-09-23,30.021915435791016,128.3000030517578,54.599998474121094,36.5099983215332
2021-09-24,30.380878448486328,130.64999389648438,55.849998474121094,36.439998626708984
2021-09-27,30.457021713256836,131.3000030517578,55.0,36.45000076293945
2021-09-28,30.239465713500977,129.5500030517578,54.349998474121094,36.459999084472656
2021-09-29,29.58681297302246,124.05000305175781,53.349998474121094,36.58000183105469
2021-09-30,29.815244674682617,125.80000305175781,53.45000076293945,36.63999938964844
2021-10-01,29.140838623046875,119.5999984741211,52.54999923706055,36.650001525878906
2021-10-04,28.966800689697266,118.1500015258789,53.099998474121094,36.900001525878906
2021-10-05,28.923290252685547,118.19999694824219,52.29999923706055,36.599998474121094
2021-10-06,28.93416976928711,117.8499984741211,52.599998474121094,36.779998779296875
2021-10-07,29.445411682128906,122.94999694824219,53.599998474121094,36.72999954223633
2021-10-08,29.195228576660156,121.5,53.75,36.81999969482422
2021-10-12,28.90153694152832,118.55000305175781,53.29999923706055,36.84000015258789
2021-10-13,28.803634643554688,117.44999694824219,53.150001525878906,36.900001525878906
2021-10-14,28.87978172302246,118.3499984741211,53.75,36.88999938964844
2021-10-15,29.641202926635742,123.9000015258789,54.650001525878906,36.779998779296875
2021-10-18,29.55418586730957,122.94999694824219,54.54999923706055,36.880001068115234
2021-10-19,29.793489456176758,125.6500015258789,55.099998474121094,36.77000045776367
2021-10-20,29.717348098754883,125.5,55.25,36.68000030517578
2021-10-21,29.60857391357422,124.80000305175781,55.04999923706055,36.619998931884766
2021-10-22,29.69559097290039,125.30000305175781,55.29999923706055,36.70000076293945
2021-10-25,29.6738338470459,125.30000305175781,55.20000076293945,36.720001220703125
2021-10-26,29.924022674560547,127.55000305175781,55.79999923706055,36.70000076293945
2021-10-27,29.924022674560547,128.0500030517578,55.70000076293945,36.65999984741211
2021-10-28,29.836997985839844,127.4000015258789,55.900001525878906,36.59000015258789
2021-10-29,29.54330825805664,125.94999694824219,55.900001525878906,36.56999969482422
2021-11-01,29.69559097290039,127.9000015258789,56.79999923706055,36.59000015258789
2021-11-02,29.641202926635742,126.94999694824219,56.75,36.59000015258789
2021-11-03,29.717348098754883,128.0500030517578,57.150001525878906,36.68000030517578
2021-11-04,29.619449615478516,128.0,57.95000076293945,36.630001068115234
2021-11-05,30.043678283691406,130.75,58.75,36.66999816894531
2021-11-08,30.282974243164062,132.6999969482422,58.54999923706055,36.709999084472656
2021-11-09,30.609304428100586,135.1999969482422,58.5,36.59000015258789
2021-11-10,30.565792083740234,135.0,57.599998474121094,36.45000076293945
2021-11-11,30.293855667114258,133.35000610351562,57.20000076293945,36.540000915527344
2021-11-12,30.39175033569336,134.39999389648438,57.400001525878906,36.63999938964844
2021-11-15,30.6636905670166,136.64999389648438,58.0,36.529998779296875
2021-11-16,30.718076705932617,136.75,57.70000076293945,36.560001373291016
2021-11-17,30.815977096557617,137.85000610351562,58.349998474121094,36.599998474121094
2021-11-18,30.99001693725586,139.85000610351562,58.5,36.529998779296875
2021-11-19,31.066158294677734,139.60000610351562,59.29999923706055,36.540000915527344
2021-11-22,30.99001693725586,139.5500030517578,59.5,36.54999923706055
2021-11-23,30.696331024169922,136.64999389648438,58.599998474121094,36.54999923706055
2021-11-24,30.565792083740234,136.35000610351562,58.349998474121094,36.529998779296875
2021-11-25,30.554916381835938,136.35000610351562,58.79999923706055,36.5099983215332
2021-11-26,30.054550170898438,131.35000610351562,58.400001525878906,36.560001373291016
2021-11-29,30.054550170898438,131.10000610351562,58.20000076293945,36.529998779296875
2021-11-30,30.021915435791016,131.6999969482422,58.54999923706055,36.459999084472656
2021-12-01,30.52228355407715,135.39999389648438,58.400001525878906,36.459999084472656
2021-12-02,30.848608016967773,137.25,57.150001525878906,36.459999084472656
2021-12-03,30.837738037109375,137.60000610351562,57.150001525878906,36.43000030517578
2021-12-06,30.750713348388672,137.0,56.29999923706055,36.619998931884766
2021-12-07,30.848608016967773,138.14999389648438,57.099998474121094,36.470001220703125
2021-12-08,30.968257904052734,139.8000030517578,58.599998474121094,36.40999984741211
2021-12-09,30.892118453979492,139.85000610351562,58.5,36.400001525878906
2021-12-10,30.881242752075195,139.25,57.79999923706055,36.400001525878906
2021-12-13,30.783344268798828,138.5,58.54999923706055,36.459999084472656
2021-12-14,30.478775024414062,135.3000030517578,57.70000076293945,36.560001373291016
2021-12-15,30.52228355407715,135.8000030517578,57.150001525878906,36.540000915527344
2021-12-16,30.902997970581055,139.14999389648438,58.54999923706055,36.630001068115234
2021-12-17,30.870363235473633,138.8000030517578,56.849998474121094,36.810001373291016
2021-12-20,30.598417282104492,136.39999389648438,56.04999923706055,36.58000183105469
2021-12-21,30.859487533569336,139.4499969482422,56.70000076293945,36.599998474121094
2021-12-22,30.859487533569336,139.6999969482422,57.20000076293945,36.540000915527344
2021-12-23,31.033517837524414,141.25,57.900001525878906,36.470001220703125
2021-12-24,31.120546340942383,141.6999969482422,58.20000076293945,36.470001220703125
2021-12-27,31.359853744506836,143.60000610351562,58.400001525878906,36.380001068115234
2021-12-28,31.61003875732422,145.64999389648438,59.04999923706055,36.31999969482422
2021-12-29,31.751440048217773,146.75,58.900001525878906,36.34000015258789
2021-12-30,31.653539657592773,146.0,58.79999923706055,36.310001373291016
2022-01-03,31.84933853149414,146.5500030517578,58.650001525878906,36.5
2022-01-04,32.54549789428711,151.1999969482422,58.75,36.20000076293945
2022-01-05,32.4802360534668,150.39999389648438,57.650001525878906,36.290000915527344
2022-01-06,32.175662994384766,148.25,55.900001525878906,36.349998474121094
2022-01-07,31.89284896850586,145.25,56.349998474121094,36.31999969482422
2022-01-10,32.09952163696289,146.75,55.900001525878906,36.369998931884766
2022-01-11,32.26268768310547,146.9499969482422,55.79999923706055,36.34000015258789
2022-01-12,32.53462600708008,148.89999389648438,56.599998474121094,36.31999969482422
2022-01-13,32.697784423828125,150.14999389648438,56.599998474121094,36.31999969482422
2022-01-14,32.697784423828125,149.35000610351562,55.349998474121094,36.290000915527344
2022-01-17,33.067623138427734,151.9499969482422,55.349998474121094,36.189998626708984
2022-01-18,32.697784423828125,149.60000610351562,55.0,36.150001525878906
2022-01-19,32.30619430541992,146.35000610351562,53.75,36.220001220703125
2022-01-20,32.436729431152344,147.5,53.900001525878906,36.2400016784668
2022-01-21,31.714170455932617,141.4499969482422,52.29999923706055,36.34000015258789
2022-01-24,32.014312744140625,143.10000610351562,52.04999923706055,36.310001373291016
2022-01-25,31.491857528686523,138.14999389648438,51.150001525878906,36.31999969482422
2022-01-26,31.469629287719727,137.85000610351562,50.79999923706055,36.369998931884766
2022-02-07,31.636369705200195,141.5,52.79999923706055,36.369998931884766
2022-02-08,31.769758224487305,142.89999389648438,52.25,36.369998931884766
2022-02-09,31.880922317504883,145.60000610351562,53.20000076293945,36.470001220703125
2022-02-10,32.24774932861328,148.10000610351562,53.95000076293945,36.380001068115234
2022-02-11,32.22551727294922,147.5500030517578,52.29999923706055,36.45000076293945
2022-02-14,31.725299835205078,143.10000610351562,51.349998474121094,36.599998474121094
2022-02-15,31.580785751342773,142.0500030517578,51.20000076293945,36.47999954223633
2022-02-16,32.103240966796875,147.0,52.45000076293945,36.529998779296875
2022-02-17,32.12547302246094,147.35000610351562,52.20000076293945,36.52000045776367
2022-02-18,32.03654479980469,147.3000030517578,51.349998474121094,36.470001220703125
2022-02-21,31.969846725463867,146.9499969482422,50.599998474121094,36.470001220703125
2022-02-22,31.53632354736328,141.85000610351562,49.310001373291016,36.5
2022-02-23,31.625255584716797,143.75,50.25,36.5099983215332
2022-02-24,30.858243942260742,136.0500030517578,47.72999954223633,36.52000045776367
2022-02-25,30.791545867919922,136.4499969482422,50.04999923706055,36.68000030517578
2022-03-01,31.22507095336914,141.35000610351562,51.349998474121094,36.720001220703125
2022-03-02,31.04721450805664,140.4499969482422,51.0,36.66999816894531
2022-03-03,31.113910675048828,140.9499969482422,51.400001525878906,36.7599983215332
2022-03-04,30.780426025390625,137.9499969482422,50.5,36.81999969482422
2022-03-07,29.791099548339844,128.64999389648438,49.720001220703125,37.099998474121094
2022-03-08,29.157480239868164,123.0,48.400001525878906,37.09000015258789
2022-03-09,29.45761489868164,126.3499984741211,48.72999954223633,37.11000061035156
2022-03-10,30.313556671142578,133.10000610351562,50.04999923706055,37.09000015258789
2022-03-11,29.880023956298828,129.8000030517578,49.380001068115234,37.08000183105469
2022-03-14,29.880023956298828,130.14999389648438,49.16999816894531,37.18000030517578
2022-03-15,29.268640518188477,124.8499984741211,48.34000015258789,37.41999816894531
2022-03-16,29.390914916992188,125.9000015258789,49.75,37.45000076293945
2022-03-17,30.324665069580078,133.85000610351562,51.150001525878906,37.310001373291016
2022-03-18,30.257972717285156,132.85000610351562,51.04999923706055,37.16999816894531
2022-03-21,30.458059310913086,134.5500030517578,52.599998474121094,37.29999923706055
2022-03-22,30.413597106933594,135.0500030517578,52.70000076293945,37.380001068115234
2022-03-23,30.702619552612305,137.6999969482422,53.79999923706055,37.290000915527344
2022-03-24,30.680381774902344,137.39999389648438,53.5,37.40999984741211
2022-03-25,30.724849700927734,136.8000030517578,54.400001525878906,37.380001068115234
2022-03-28,30.3913631439209,134.3000030517578,54.45000076293945,37.61000061035156
2022-03-29,30.424713134765625,135.0500030517578,55.349998474121094,37.599998474121094
2022-03-30,30.802658081054688,137.9499969482422,55.849998474121094,37.380001068115234
2022-03-31,30.702619552612305,136.9499969482422,55.70000076293945,37.45000076293945
2022-04-01,30.446945190429688,135.3000030517578,55.0,37.5099983215332
2022-04-06,30.291318893432617,134.1999969482422,54.95000076293945,37.70000076293945
2022-04-07,29.746633529663086,129.0,53.599998474121094,37.650001525878906
2022-04-08,29.91337013244629,130.9499969482422,54.20000076293945,37.84000015258789
2022-04-11,29.446495056152344,126.5,53.0,37.880001068115234
2022-04-12,29.468730926513672,126.9000015258789,52.25,38.150001525878906
2022-04-13,30.024532318115234,131.14999389648438,52.45000076293945,37.900001525878906
2022-04-14,29.91337013244629,130.85000610351562,53.349998474121094,37.93000030517578
2022-04-15,29.40203285217285,126.30000305175781,52.5,38.040000915527344
2022-04-18,29.24640655517578,124.80000305175781,51.900001525878906,38.209999084472656
2022-04-19,29.34644889831543,126.69999694824219,52.70000076293945,38.189998626708984
2022-04-20,29.490962982177734,128.0,53.29999923706055,38.16999816894531
2022-04-21,29.513195037841797,128.85000610351562,53.349998474121094,38.20000076293945
2022-04-22,29.25752830505371,126.5999984741211,51.900001525878906,38.220001220703125
2022-04-25,28.73506736755371,120.44999694824219,50.400001525878906,38.34000015258789
2022-04-26,28.73506736755371,120.5999984741211,51.29999923706055,38.31999969482422
2022-04-27,28.13479995727539,116.3499984741211,49.470001220703125,38.380001068115234
2022-04-28,28.257078170776367,118.0,50.20000076293945,38.54999923706055
2022-04-29,28.62390899658203,120.5,50.95000076293945,38.540000915527344
2022-05-03,28.412700653076172,119.0999984741211,50.150001525878906,38.560001373291016
2022-05-04,28.412700653076172,119.6500015258789,50.04999923706055,38.59000015258789
2022-05-05,28.73506736755371,122.0,51.45000076293945,38.52000045776367
2022-05-06,28.15703010559082,117.30000305175781,49.25,38.880001068115234
2022-05-09,27.690156936645508,112.3499984741211,48.20000076293945,38.93000030517578
2022-05-10,27.567880630493164,112.55000305175781,47.29999923706055,38.81999969482422
2022-05-11,27.61234474182129,112.1500015258789,47.68000030517578,38.84000015258789
2022-05-12,26.956497192382812,106.8499984741211,45.86000061035156,38.90999984741211
2022-05-13,27.2010498046875,109.6500015258789,46.56999969482422,38.91999816894531
2022-05-16,27.345561981201172,110.6500015258789,47.369998931884766,38.970001220703125
2022-05-17,27.645694732666016,113.0,47.290000915527344,38.77000045776367
2022-05-18,27.945825576782227,115.30000305175781,47.900001525878906,38.779998779296875
2022-05-19,27.41225814819336,111.69999694824219,45.81999969482422,38.900001525878906
2022-05-20,27.712390899658203,113.94999694824219,45.91999816894531,38.81999969482422
2022-05-23,27.767969131469727,114.19999694824219,45.79999923706055,38.65999984741211
2022-05-24,27.45672035217285,111.30000305175781,45.20000076293945,38.54999923706055
2022-05-25,27.667924880981445,113.5999984741211,45.310001373291016,38.52000045776367
2022-05-26,27.323328018188477,111.30000305175781,45.189998626708984,38.5099983215332
2022-05-27,27.90135955810547,115.3499984741211,46.439998626708984,38.33000183105469
2022-05-30,28.579444885253906,120.5,48.150001525878906,38.040000915527344
2022-05-31,28.857345581054688,121.94999694824219,47.790000915527344,37.93000030517578
